,num_clusters,silhouette_score,davies_bouldin_score
0,2,0.5133666736760012,0.8451182113492125
1,3,0.54905805591778,0.7677521620347116
2,4,0.5883503958185127,0.6700512427568336
3,5,0.6538366741085372,0.5771400006014517
4,6,0.6464566723779528,0.5243486031171279
5,7,0.6568013143350643,0.47832572496009523
6,8,0.6376514020872965,0.451481705028632
7,9,0.6367484447110926,0.4025919328609192
8,10,0.6239249287455139,0.37872779682520363
9,11,0.630669178425138,0.33285472122781545
10,12,0.6108046744236251,0.31288795691919286
11,13,0.6029630048538778,0.3557411645686128
12,14,0.5030890443452117,0.4990741168563914
13,15,0.49574243790648753,0.43568989050707374
14,16,0.456781085967627,0.4643725294045446
15,17,0.37993113611952034,0.5375861999677156
16,18,0.3713355908468046,0.46551562023683324
17,19,0.380943436380648,0.4193217294801835
18,20,0.373338117189797,0.4377197172197305
19,21,0.36362229377736066,0.5095977983249378
20,22,0.3475164350872325,0.5394116921099756
21,23,0.3213748040492495,0.539224917268108
22,24,0.3237615561227933,0.503466357276162
23,25,0.286242179862577,0.5341865394692984
24,26,0.2700162008083558,0.5113783473986413
25,27,0.2565149610459309,0.5580045552364477
26,28,0.2527782035942223,0.5670876537634884
27,29,0.251963337768424,0.5480535586552256
28,30,0.2578318641863744,0.5233418610927884
29,31,0.24801941936496055,0.5459964433592114
30,32,0.2377001796508479,0.5154232256477109
31,33,0.2439926697817287,0.5047921803574386
32,34,0.23416154736137026,0.4994138657984455
33,35,0.23233879790913073,0.48499266164708793
34,36,0.23592998619335107,0.49682572110217205
35,37,0.2301665301330696,0.451574258251316
36,38,0.22675630465604152,0.4373335515939101
37,39,0.23749590129985174,0.4397163271653997
38,40,0.23091352345185337,0.4068290679544891
39,41,0.23001216639198327,0.41103713250124524
40,42,0.22520309741647046,0.39951156808817406
41,43,0.21946981281027736,0.37630189775153966
42,44,0.2166007501115955,0.36086894296076666
43,45,0.20972108392682023,0.3505002382673435
44,46,0.20504877290299983,0.33567771868763674
45,47,0.2120916246423303,0.33334453038302675
46,48,0.2102483224270855,0.32997650744675383
47,49,0.20354515551797442,0.3191249050488195
48,50,0.19094036938205985,0.30808806527364013
49,51,0.1851805002483683,0.30294874431734026
50,52,0.18007768715576858,0.28781005474235777
51,53,0.17257294295275513,0.28608263656666894
52,54,0.17066934657218083,0.29508161910248537
53,55,0.16417586528086506,0.28606921483326914
54,56,0.14910381931493816,0.2882020389543237
55,57,0.14673198234821025,0.22456644182916302
56,58,0.14464316143486808,0.211880273602298
57,59,0.13688483493245102,0.2094818201121892
58,60,0.13252520885048313,0.19707039900731338
59,61,0.13818581495734406,0.19338529846422492
60,62,0.13421444191898677,0.18744478421039745
61,63,0.12980833788570031,0.18538230895993738
62,64,0.12552132538560493,0.16783689278988118
63,65,0.11135854764932043,0.1514097154970889
64,66,0.09937487664811556,0.1448802217940413
65,67,0.08427403752329954,0.14017906208402886
66,68,0.07316892680515652,0.13218899042048823
67,69,0.06420480508544014,0.1231493978294616
68,70,0.05342999044755291,0.11855903872284568
69,71,0.04414335953561114,0.09437636779356895
