,num_clusters,silhouette_score,davies_bouldin_score
0,2,0.8853364405042036,0.12985410251477228
1,3,0.6834797063803318,0.723055067446119
2,4,0.3697488603402825,0.5920869939316666
3,5,0.40164277041307656,0.5497887188630571
4,6,0.3528319092235569,0.744649322018789
5,7,0.31159919023343674,0.7973465971659969
6,8,0.26380952195373714,0.8114969456637476
7,9,0.2502191303750876,0.8468185217222278
8,10,0.23936136349367473,0.9755556590089899
9,11,0.18823839559270816,1.062618829458459
10,12,0.17880529446118587,0.8503350225505227
11,13,0.18801003208782194,0.8808139508645014
12,14,0.16232088196650038,0.9212462797539261
13,15,0.16886664208311555,0.9839230710472229
14,16,0.16658220614519428,0.9980760815760961
15,17,0.13436621892762612,1.1123446135405821
16,18,0.13670620815468812,1.121924291208793
17,19,0.16782369559013052,1.0085666377574696
18,20,0.14871335498475063,1.0350282048446746
19,21,0.15380277167148218,1.0348877195020008
20,22,0.14606379213105997,0.9811831036668774
21,23,0.1493498811626093,0.9383453882218923
22,24,0.13913649357051133,0.8766413182816617
23,25,0.13326346399346134,0.8194947399648538
24,26,0.14696049628596441,0.7698783634783954
25,27,0.17251817154123156,0.8219670876241126
26,28,0.16751153704305377,0.7950754390250772
27,29,0.14800525448671953,0.7685437432466649
28,30,0.15467251148415345,0.7901015193427792
29,31,0.1532268205592492,0.8232200543280042
30,32,0.11672948415257442,0.8869760230003783
31,33,0.09702349893408602,0.7739745191804164
32,34,0.14249549634870595,0.7779305626123315
33,35,0.10179973794944469,0.8437505392603993
34,36,0.10619229056632622,0.7972242325522659
35,37,0.10887480235473276,0.7706752890272907
36,38,0.10744943785272414,0.7661007251661746
37,39,0.1075595747819266,0.7208839015626657
38,40,0.10995841218127493,0.7111525963064171
39,41,0.10361344689440752,0.6903280070168055
40,42,0.06089936291487292,0.767875171643716
41,43,0.05014533761225606,0.7040554236377043
42,44,0.04017088340093002,0.6978617418704488
43,45,0.04209860851037696,0.7148396065255694
44,46,0.03821314583953855,0.7027075645972202
45,47,0.06905887127558437,0.6295891188064426
46,48,0.07461200600974593,0.5979765519684893
47,49,0.08446721565510726,0.5934999176642894
48,50,0.07916818612997212,0.5823562460759537
49,51,0.08242710637016139,0.5923923870065306
50,52,0.0907973833192898,0.5669116062661259
51,53,0.08582695469441887,0.5504662492144259
52,54,0.07944140584611385,0.5474012415354436
53,55,0.05673797267071215,0.5492853307080516
54,56,0.05827572894060412,0.5413144407347968
55,57,0.06093195822137441,0.5475600287731601
56,58,0.050449344472769726,0.5414717576162174
57,59,0.030261797703167895,0.5386510564842374
58,60,0.0219938165762332,0.5307970387600912
59,61,0.07054125414352325,0.40048392426324264
60,62,0.0021240661943801556,0.5090012745656095
61,63,0.02956151336539543,0.3933050135730874
62,64,0.01833892252751154,0.3884612453636266
63,65,0.02459199110309287,0.4176823124264406
64,66,0.04230439967082994,0.35424300898891575
65,67,0.02582095445167891,0.35086860929684777
66,68,0.02261909709535476,0.34672397175008723
67,69,0.028374372559822187,0.31006204727110465
68,70,0.021812457718774086,0.276563944143051
69,71,0.013459558543849864,0.2745658145189943
