,num_clusters,silhouette_score,davies_bouldin_score
0,2,0.350256311633159,1.2015570768961106
1,3,0.40596507927573094,0.8524622280340791
2,4,0.388393249610391,0.9441439214830338
3,5,0.33550860244941333,1.0350004216563709
4,6,0.3083915589165164,1.1277201641668924
5,7,0.2525978466704176,1.3006428568522488
6,8,0.2467930186537618,1.1768540892458774
7,9,0.190568762758189,1.2755343831312758
8,10,0.23319048147772273,1.0677314313849755
9,11,0.2160963845650061,1.0779035096838443
10,12,0.18814905020788517,1.1635868005348262
11,13,0.1625763465647402,1.2503680840552498
12,14,0.15139920743160348,1.2681873967841437
13,15,0.15400929007714323,1.209674820863967
14,16,0.1848343206166778,1.2056584291505752
15,17,0.16632753736802275,1.1418493945921038
16,18,0.10987671064184758,1.1012158689341576
17,19,0.13858065442098874,1.0794166619816432
18,20,0.17825012203577878,1.055685722638548
19,21,0.17474936487169768,1.0682530752997277
20,22,0.16507846165521095,1.014820553020164
21,23,0.15537438777849458,0.9673519228907873
22,24,0.15759664913531,0.9452891991466047
23,25,0.14197456788442347,0.9294202960508531
24,26,0.1507306073107071,0.9206409346075214
25,27,0.15051812835888012,0.9111642268275609
26,28,0.14289920704372747,0.8965350624685403
27,29,0.13265466618059082,0.8888333221465337
28,30,0.13534537561540494,0.8219223459705199
29,31,0.13172757673034544,0.8330652121393713
30,32,0.13411451856359802,0.8113064873396165
31,33,0.1413731109274527,0.810635952036503
32,34,0.1352388567119091,0.800153605076279
33,35,0.13643209113530905,0.7992588244039505
34,36,0.11428953183326039,0.7912268320806045
35,37,0.09730269872221459,0.8197861084527699
36,38,0.0839699350150362,0.8330547850582812
37,39,0.09060494053708744,0.8144663566416371
38,40,0.08679835770299686,0.7541154219150801
39,41,0.0872672523118289,0.7239201054344624
40,42,0.0857151378561108,0.764074439189204
41,43,0.10012277848382904,0.6967539486484263
42,44,0.10034710330502501,0.6903503058613123
43,45,0.1022621156299231,0.6667932540354942
44,46,0.08976816112743487,0.6558233416567647
45,47,0.11057322704924542,0.6355183769027889
46,48,0.10018019072667281,0.6222664272994678
47,49,0.10272827381603318,0.5939294365792175
48,50,0.09569794137594255,0.5801126476116423
49,51,0.10037119329159888,0.5601177931074667
50,52,0.10071608943184848,0.550658343395179
51,53,0.09132360327922201,0.5362339561691046
52,54,0.08385091774728264,0.5282148058024999
53,55,0.08477007539974564,0.5091567761065787
54,56,0.08540323787522748,0.5001320371170254
55,57,0.06986762041112779,0.49881523076942025
56,58,0.062154149132158075,0.5080643555329913
57,59,0.07865491796505343,0.46867725753851985
58,60,0.0728181449291333,0.4631980135357911
59,61,0.06739953923329783,0.4486413311839713
60,62,0.059227929590606423,0.44022631196848006
61,63,0.05271164500597347,0.4312286001124357
62,64,0.00803842886703618,0.4399301707071216
63,65,0.00851991432395879,0.4064212240825459
64,66,0.0031013086281233286,0.39382202207973743
65,67,0.009695581221059731,0.40558499212657456
66,68,0.0008592693465999223,0.36896659571545787
67,69,0.026101840578385403,0.3267819981040624
68,70,0.003913538454331281,0.32562073124529245
69,71,-6.644156587585697e-05,0.3148088000083479
