,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
45,2347.0,0,1,1,0,0,6,6,3,3,3,3,0,8,8,10,10,10,10,15,15,10,15,10,10,10,11,11,11,11,11,11,24,24,24,24,24,24,24,24,24,24,24,24,24,12,12,12,12,12,12,12,24,24,24,24,24,6,6,6,24,50,50,54,54,54,54,24,27,54,54
46,2351.0,0,1,1,0,0,6,7,4,4,6,6,11,5,5,15,15,15,15,11,20,15,20,15,15,15,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,39,39,39,39,39,39,39,22,22,22,22,22,50,50,50,22,18,18,41,41,41,41,22,62,41,39
47,2366.0,0,1,1,0,0,6,6,3,3,3,3,0,8,8,10,10,10,10,15,15,10,15,10,10,10,11,11,11,11,11,11,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,10,10,10,26,27,27,39,39,39,39,26,27,39,26
48,2369.0,1,0,0,2,5,5,5,0,0,9,9,7,9,9,12,12,12,18,12,12,14,12,14,14,14,4,4,4,4,4,4,10,10,10,10,10,37,37,37,10,27,27,27,27,32,32,32,32,32,32,32,27,27,53,53,53,14,14,14,53,28,28,47,47,47,47,35,25,47,32
49,2372.0,0,1,1,0,0,6,7,7,7,3,3,10,8,8,7,7,7,7,17,17,7,17,7,7,7,20,20,20,29,29,29,16,16,16,16,16,16,16,16,16,16,16,16,16,45,45,45,45,45,45,45,16,16,16,55,55,31,31,31,55,54,54,45,45,45,45,55,17,45,45
50,2374.0,1,2,3,3,3,4,4,1,1,0,0,6,2,2,8,16,16,16,6,6,16,6,16,16,16,12,12,12,12,12,12,31,31,31,31,31,31,31,39,39,39,39,39,39,6,6,6,6,6,6,6,39,39,39,39,39,16,16,16,39,51,51,61,61,61,61,39,21,61,6
51,2386.0,1,0,0,2,5,5,5,0,0,9,9,7,9,9,12,12,12,12,7,7,14,7,14,14,14,10,10,10,10,10,10,32,32,32,32,32,37,37,37,37,37,37,37,37,21,21,21,21,21,21,21,37,37,37,37,37,41,41,41,37,38,38,16,16,16,16,37,53,16,53
52,2410.0,0,1,1,0,0,6,7,3,3,3,3,10,8,8,3,3,3,3,0,0,3,0,3,3,3,19,19,19,29,30,30,17,17,17,17,17,17,17,17,17,17,17,17,17,31,31,31,31,31,31,31,17,17,17,17,17,3,3,3,57,23,23,26,26,26,26,61,0,26,31
53,2414.0,1,0,0,2,5,5,5,0,0,9,9,7,9,9,12,12,12,12,7,7,12,7,12,12,25,5,5,5,5,5,5,32,32,32,27,27,27,27,27,27,41,41,41,41,34,34,34,34,34,34,34,48,48,48,48,48,37,37,37,48,5,5,9,9,9,9,48,51,9,34
54,2415.0,1,0,0,2,5,5,5,0,0,9,9,7,9,9,12,12,12,12,7,7,12,7,12,12,12,15,15,15,15,15,15,32,32,32,32,32,32,32,32,40,40,40,40,40,38,38,38,38,38,38,38,40,40,40,40,40,48,48,48,40,42,42,24,24,24,24,40,7,24,38
