,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
44,2343.0,0,0,0,0,5,2,2,0,2,8,9,6,12,6,15,10,15,7,3,0,3,19,22,8,8,17,20,4,13,8,20,24,15,6,5,7,7,0,15,31,7,8,27,0,0,30,21,21,17,11,4,16,0,47,16,54,10,39,49,55,57,14,57,0,61,42,45,0,0,0
45,2347.0,0,0,3,1,2,2,0,4,3,4,6,1,9,11,6,14,9,8,4,10,10,18,3,24,2,7,10,20,23,25,15,4,31,30,27,30,23,13,35,33,11,33,41,37,37,46,9,24,43,40,45,18,37,37,43,48,46,33,50,34,32,32,7,45,38,27,33,45,45,45
46,2351.0,1,2,1,4,0,6,4,1,8,3,2,5,4,3,7,11,8,16,10,11,14,16,0,5,17,4,23,12,18,30,0,6,17,1,29,6,5,9,3,28,17,25,22,38,38,3,14,28,29,12,41,19,38,9,5,3,1,21,32,29,13,19,34,9,29,15,30,9,9,9
47,2366.0,1,2,1,1,3,6,0,5,1,5,1,7,6,0,3,0,6,6,2,9,9,8,4,9,10,2,1,9,24,1,2,31,9,8,33,24,36,6,37,12,38,31,31,25,25,38,25,42,36,10,8,9,25,22,9,40,38,44,8,36,40,40,41,33,31,21,25,33,33,33
48,2369.0,0,0,3,0,2,2,3,4,5,0,0,3,2,4,11,1,4,9,12,4,1,7,8,3,7,8,3,10,7,2,6,20,20,26,2,8,22,18,21,30,0,19,3,34,34,7,34,12,1,43,20,4,34,51,26,55,50,49,7,26,24,39,42,34,52,22,2,34,34,34
49,2372.0,1,2,1,4,3,4,7,6,6,1,4,2,0,7,10,16,10,15,8,13,8,20,14,19,15,0,18,7,16,12,12,2,1,21,12,14,1,1,12,13,6,3,1,13,13,43,18,1,2,15,9,8,13,1,17,8,40,43,6,15,9,44,15,62,18,45,61,62,62,62
50,2374.0,0,0,3,0,2,2,3,4,5,0,0,3,2,4,11,1,4,9,12,16,1,7,8,3,7,22,19,10,7,2,24,10,3,7,20,36,0,2,24,30,37,19,3,16,16,20,34,26,26,9,20,31,16,0,2,28,22,56,56,53,55,58,59,54,54,50,41,54,54,54
51,2386.0,0,0,3,0,5,2,6,8,2,8,0,6,5,1,5,15,13,0,6,8,19,3,1,14,14,1,11,26,17,13,1,7,11,11,21,18,4,21,6,32,24,39,38,22,22,1,11,43,11,39,22,2,22,8,8,49,45,58,43,4,17,61,47,11,65,11,36,65,65,65
52,2410.0,1,2,1,4,0,0,2,6,7,1,10,2,10,8,15,2,17,15,7,7,12,15,2,20,3,13,5,3,11,4,31,17,19,10,22,21,26,17,2,23,1,29,10,7,7,0,17,45,19,14,43,22,7,30,14,43,44,13,42,41,16,37,46,20,5,37,37,20,20,20
53,2414.0,0,0,3,0,2,2,3,4,3,0,6,1,9,11,6,14,15,8,4,10,10,18,12,4,8,7,26,1,1,16,26,4,6,2,14,3,10,35,0,9,35,16,6,10,10,16,35,2,25,17,46,35,10,53,12,50,55,9,53,60,8,43,49,60,56,4,5,60,60,60
