,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
44,2343.0,1,2,1,3,5,1,1,5,1,5,5,12,12,12,12,5,11,11,19,11,11,5,5,5,5,5,18,18,27,27,18,18,18,18,35,35,35,35,35,35,35,35,35,35,24,24,24,24,24,24,24,24,11,27,27,11,41,41,41,41,41,41,54,54,41,41,35,35,56,54
45,2347.0,0,1,0,1,0,3,3,8,3,8,8,3,3,11,11,3,14,14,3,14,14,3,3,3,3,3,8,8,3,3,8,8,8,8,33,33,33,33,33,33,33,33,33,33,27,27,27,27,27,27,27,27,42,3,3,42,54,54,54,54,54,54,24,24,54,54,67,67,50,24
46,2351.0,0,0,3,0,3,4,4,0,4,3,3,10,10,14,14,15,16,16,14,16,21,16,16,16,16,16,3,3,15,15,3,3,3,3,15,15,15,15,15,15,15,15,15,15,39,39,39,39,39,39,39,39,21,47,47,21,39,39,39,39,39,39,22,22,39,39,15,15,18,22
47,2366.0,0,0,3,0,3,5,5,3,5,10,10,10,10,10,10,0,15,15,10,15,15,18,18,18,18,18,10,10,18,18,10,10,10,10,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,32,40,40,32,26,26,26,26,26,26,26,26,26,26,50,50,27,26
48,2369.0,1,1,0,1,4,6,6,4,9,4,4,9,9,9,9,13,4,4,9,4,4,13,13,13,13,13,4,4,13,13,4,14,14,14,27,27,37,37,37,37,37,37,37,44,25,25,25,25,25,25,25,25,50,23,23,56,32,32,32,32,32,32,1,1,32,32,44,44,28,1
49,2372.0,0,0,1,2,1,4,4,1,4,3,3,4,4,4,4,15,6,6,17,20,20,15,15,15,15,15,15,15,28,28,31,31,31,31,32,32,32,32,32,32,32,32,32,32,17,17,17,17,17,17,17,17,20,28,28,55,45,45,45,45,45,45,15,15,45,45,32,32,11,15
50,2374.0,1,1,0,1,4,6,6,4,6,4,4,6,6,6,6,13,4,4,6,4,4,17,17,17,17,17,16,16,17,17,16,16,16,16,1,1,1,1,1,1,1,1,1,1,21,21,21,21,21,21,21,21,26,17,17,26,6,6,6,6,6,6,39,39,6,6,1,1,51,39
51,2386.0,1,2,2,3,2,1,2,2,7,2,2,1,1,1,1,6,5,5,1,5,5,6,6,6,6,8,2,2,8,8,2,2,33,33,11,11,11,11,11,11,41,41,41,41,36,36,36,36,36,36,36,36,47,34,34,47,53,53,53,53,53,53,37,37,53,53,41,41,38,37
52,2410.0,0,0,1,2,1,0,0,1,0,1,11,0,0,0,0,1,6,18,0,18,18,1,1,1,1,1,11,11,1,1,11,11,11,11,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,53,1,1,53,31,31,31,31,31,31,61,61,31,31,19,19,23,61
53,2414.0,1,1,0,1,4,6,6,8,6,9,9,3,3,3,3,10,13,13,18,13,13,19,19,19,19,19,21,21,19,19,21,21,21,21,28,28,28,28,28,28,28,28,28,28,33,33,33,33,33,33,51,51,36,33,33,36,34,34,34,34,34,34,48,48,34,34,28,28,5,48
