,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
62,2481.0,1,1,1,1,0,4,2,6,9,0,0,1,1,11,1,4,2,8,6,1,6,1,16,7,17,9,13,24,9,29,16,30,1,10,6,14,30,0,1,1,15,1,14,9,14,5,15,27,15,14,51,39,52,1,1,1,50,1,55,2,46,42,54,49,55,41,10,1,1,1
63,2485.0,0,0,3,4,1,6,0,2,8,2,10,6,2,4,6,5,6,5,9,8,1,8,3,17,8,8,11,12,28,30,12,26,8,5,12,22,19,10,8,8,8,8,5,0,32,23,44,32,8,9,25,6,47,37,37,37,11,40,36,13,60,4,31,61,6,59,34,57,57,57
64,2493.0,0,0,3,4,1,6,0,2,8,2,10,6,2,4,6,15,6,5,9,8,1,21,18,17,8,8,19,18,10,1,29,12,21,33,35,9,15,26,21,21,8,21,43,33,0,11,8,6,24,25,34,33,0,52,52,52,38,56,5,54,54,56,56,55,52,55,1,52,52,52
65,2500.0,0,0,3,4,1,1,7,2,2,1,1,3,12,0,13,13,1,12,1,0,16,0,20,16,16,0,2,20,1,14,24,1,0,22,24,34,27,1,36,36,35,36,1,29,29,30,35,1,30,36,27,43,23,39,39,39,25,27,22,1,28,1,35,30,37,36,24,39,39,39
66,2604.0,0,0,0,0,4,1,6,7,0,6,2,7,0,12,0,9,12,14,13,15,4,15,17,3,25,16,25,4,23,23,22,29,15,13,9,15,32,27,15,15,27,15,28,28,11,9,45,44,45,29,20,45,45,46,46,46,45,37,43,43,10,12,30,24,27,25,20,46,46,46
67,2606.0,1,1,1,1,2,0,1,3,4,5,9,9,9,8,12,8,8,15,14,11,2,22,22,6,11,14,20,0,19,22,13,23,22,26,23,18,21,21,22,22,22,22,22,11,28,14,22,18,22,10,19,14,22,26,26,26,22,21,24,9,20,19,17,13,0,23,22,26,26,26
68,2608.0,0,0,0,0,4,5,4,0,6,10,8,12,8,9,14,6,13,7,11,9,7,9,7,22,14,11,18,9,8,21,17,21,9,9,19,23,7,11,9,9,9,9,11,7,3,27,9,15,9,7,10,13,10,18,18,18,8,0,7,10,7,7,16,21,16,10,8,18,18,18
69,2609.0,1,1,1,3,3,3,3,5,5,4,4,4,7,6,15,3,17,0,10,14,14,14,6,9,13,18,14,14,22,12,20,19,14,21,15,16,22,16,14,14,20,14,12,12,15,7,20,9,5,12,18,15,21,19,19,19,4,19,13,22,19,18,21,11,14,17,19,67,67,67
70,2612.0,1,1,1,3,3,3,3,5,5,4,4,4,4,6,9,12,0,9,15,6,5,6,11,14,7,7,4,7,7,15,6,6,6,14,1,8,8,7,6,6,4,6,38,4,6,18,4,14,16,5,4,41,6,45,45,45,9,5,31,28,44,37,20,9,3,43,66,64,64,64
71,2613.0,1,2,2,2,5,2,5,4,3,3,3,2,6,7,2,2,5,3,5,4,3,4,5,2,2,5,3,3,6,3,2,2,4,7,5,2,3,2,34,34,5,34,36,2,31,31,42,46,28,34,37,38,35,34,34,34,3,3,2,3,3,3,33,2,35,7,6,34,34,34
72,2617.0,1,1,1,1,0,4,2,6,9,8,0,1,1,11,1,4,2,8,6,20,15,20,16,7,17,24,6,2,9,9,16,10,20,3,27,14,17,0,20,20,13,20,31,9,25,5,13,31,38,14,26,24,31,31,31,31,13,23,29,24,24,17,26,20,8,15,30,65,65,65
73,2634.0,1,1,1,3,3,3,3,5,5,4,4,4,7,6,15,3,0,0,15,6,5,6,11,14,7,7,4,7,16,15,27,6,32,4,34,32,35,36,32,32,39,32,32,32,34,43,39,39,42,42,47,37,37,8,8,8,33,12,38,5,33,5,1,31,39,38,40,8,8,8
74,2635.0,1,1,1,3,3,3,3,5,5,4,4,4,7,6,15,3,17,0,10,14,14,14,6,9,13,18,14,14,22,12,20,19,14,21,15,16,22,16,14,14,20,14,12,12,15,7,20,9,5,12,18,15,21,19,19,19,4,19,13,22,19,18,21,11,14,17,65,19,19,19
