,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
60,2467.0,1,1,3,1,1,1,1,0,0,0,0,0,10,13,13,13,13,13,13,13,1,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,36,36,36,36,49,49,49,10,49,49,10,10,18,18,13,31,31,10,10,10,10,10,10,10,10,10
61,2473.0,1,0,0,4,4,5,5,5,5,5,5,5,13,5,5,5,5,5,5,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,45,45,45,45,45,45,45,51,45,45,51,51,44,44,35,5,5,51,51,51,51,51,51,51,51,51
62,2481.0,1,1,3,3,2,3,3,1,1,10,10,10,8,10,10,10,10,10,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,31,31,31,31,31,23,23,23,23,23,23,23,31,23,23,31,31,28,28,6,44,44,31,31,31,31,31,31,31,31,31
63,2485.0,1,1,3,3,2,3,3,3,3,9,3,12,1,12,12,12,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,22,22,22,22,22,17,17,17,17,17,17,17,22,17,17,22,22,32,32,52,47,47,22,63,63,63,63,63,63,63,63
64,2493.0,1,1,3,3,2,3,3,3,3,3,9,9,5,9,9,9,9,12,12,12,9,9,9,9,9,9,9,9,9,9,9,32,32,32,32,32,32,32,32,25,25,25,25,25,25,25,47,47,47,50,50,25,50,50,25,25,14,14,28,30,30,25,25,25,25,25,25,25,25,25
65,2500.0,1,1,3,3,2,3,3,3,3,3,11,11,5,11,11,11,11,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,34,34,34,34,34,34,35,35,35,35,35,0,0,0,0,0,0,0,45,11,11,45,45,24,24,11,54,54,45,45,45,45,45,45,45,45,45
66,2604.0,1,1,3,3,2,3,3,3,3,3,11,3,5,3,9,9,3,9,9,9,9,9,23,24,24,26,26,26,26,26,26,26,26,34,34,34,34,34,34,24,24,24,24,24,1,1,1,1,1,1,1,24,0,0,24,24,6,6,3,9,9,24,24,24,24,24,24,24,24,24
67,2606.0,1,0,0,0,4,6,6,6,6,6,6,6,2,8,8,8,8,8,8,8,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,40,40,40,40,40,5,5,5,5,5,5,5,52,5,5,52,52,23,23,43,46,46,52,52,52,52,52,52,52,52,52
68,2608.0,1,1,3,3,2,3,3,3,3,3,11,11,5,11,11,11,11,11,11,11,9,9,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,11,11,11,11,11,11,11,27,52,52,27,27,22,22,58,11,11,27,27,27,27,27,27,27,27,27
69,2609.0,1,1,3,3,2,3,3,3,3,3,9,9,5,9,9,9,9,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25,25,25,25,44,25,25,25,25,25,25,25,44,25,25,44,44,55,55,37,45,45,44,44,44,65,65,65,65,65,65
70,2612.0,1,1,3,3,2,3,3,3,9,9,3,12,1,12,12,12,12,18,18,18,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,43,43,8,8,8,8,8,8,8,43,8,8,54,54,15,15,14,49,49,54,54,54,54,54,54,54,54,54
71,2613.0,0,2,2,2,3,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,6,6,6,6,4,4,4,4,4,4,4,6,4,4,6,6,57,57,59,2,2,6,6,6,6,6,6,6,6,6
72,2617.0,1,1,3,3,2,3,3,3,3,9,3,12,1,12,12,12,12,18,18,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,22,22,22,22,30,30,30,30,30,30,30,22,30,30,22,22,39,39,17,47,47,22,22,22,22,22,22,22,22,22
73,2634.0,1,1,3,3,2,3,3,1,1,10,10,10,8,10,10,10,10,10,10,10,5,5,5,5,5,5,5,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,15,15,15,15,15,15,15,29,15,15,29,29,48,48,4,10,24,29,29,29,29,29,29,68,68,68
74,2635.0,1,1,3,3,2,3,3,3,3,3,11,11,5,11,11,11,11,11,11,11,9,9,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,11,11,11,11,11,11,11,27,52,52,27,56,3,3,58,58,58,56,56,56,56,56,56,56,56,56
