,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
61,2473.0,0,1,0,0,4,4,5,4,4,4,4,4,4,4,12,12,17,17,17,3,3,17,3,3,3,3,3,3,3,3,3,3,12,3,17,17,17,17,32,32,35,38,38,38,45,35,44,44,44,3,3,44,44,44,44,44,3,8,44,8,8,3,55,55,55,55,55,55,55,55
62,2481.0,0,1,2,0,4,4,5,4,4,4,4,4,4,4,12,12,17,17,17,3,3,17,3,3,3,3,3,3,3,3,31,31,31,31,28,28,28,28,15,15,6,23,23,23,23,6,28,28,28,31,31,28,28,28,28,28,56,27,28,27,27,56,17,17,17,17,17,17,17,17
63,2485.0,1,0,3,1,1,1,2,1,7,7,7,7,7,7,11,11,7,7,7,5,5,7,5,5,25,25,25,25,25,25,25,25,8,25,32,32,32,32,33,33,5,17,17,17,17,5,32,32,32,25,25,32,32,32,32,32,25,44,32,44,44,25,50,50,50,50,50,50,50,50
64,2493.0,1,2,1,1,0,0,2,0,0,0,0,12,12,12,0,0,12,12,19,12,12,19,12,12,12,12,12,12,12,12,12,12,25,12,19,19,19,19,34,34,28,8,8,8,8,28,19,19,19,12,12,19,19,19,19,19,12,20,19,20,20,12,32,32,32,32,32,32,32,32
65,2500.0,1,0,3,2,2,2,2,7,7,7,7,7,7,7,10,10,7,7,7,5,5,7,5,5,5,5,5,5,5,5,5,5,8,5,24,24,24,24,10,10,11,11,11,11,11,11,24,24,24,5,5,24,24,24,24,24,5,10,24,10,10,5,54,54,54,54,67,67,67,67
66,2604.0,1,2,1,3,3,6,6,6,6,6,6,6,6,6,1,1,6,6,6,19,19,6,19,19,19,19,19,19,19,19,19,19,24,19,6,6,6,6,13,13,3,0,0,0,0,3,6,6,6,19,19,6,6,6,6,6,19,2,6,2,2,19,34,34,34,34,34,34,34,34
67,2606.0,1,0,3,2,2,2,7,8,8,8,8,8,13,13,6,6,13,13,13,7,7,13,23,23,23,23,23,23,23,23,23,23,6,23,13,13,13,13,35,35,10,4,4,4,4,43,13,13,13,47,47,13,13,13,13,13,47,16,13,16,16,47,18,18,18,18,18,18,18,18
68,2608.0,1,2,1,3,3,6,4,6,6,6,6,6,6,6,1,1,6,6,6,19,19,22,19,19,19,19,19,19,19,19,19,32,27,32,22,22,22,22,19,19,3,12,12,12,12,3,22,22,22,32,32,22,22,22,22,22,32,13,22,13,13,32,23,23,23,23,23,23,23,23
69,2609.0,1,2,1,3,3,6,6,6,6,6,6,6,6,6,1,1,6,6,6,16,16,6,16,16,16,16,16,16,16,16,16,16,24,16,34,34,34,34,17,17,37,1,1,1,1,37,34,34,34,40,40,34,34,34,55,55,55,35,55,35,35,55,9,9,9,9,9,9,9,9
70,2612.0,1,2,1,3,3,6,6,6,6,3,3,3,3,3,1,1,15,15,15,6,6,15,6,6,6,6,6,6,6,6,6,6,24,6,15,15,15,15,17,17,14,25,25,25,25,14,15,15,15,6,6,15,15,15,15,15,6,12,15,12,12,6,6,6,6,6,6,6,6,6
71,2613.0,1,0,3,2,2,2,7,8,8,8,8,8,8,8,6,6,8,8,8,7,7,8,23,23,23,7,7,7,7,7,7,7,6,7,7,7,37,37,20,20,23,4,4,4,4,23,37,37,37,47,47,37,37,37,37,37,47,3,37,3,3,47,2,2,2,2,2,2,2,2
72,2617.0,0,1,0,0,4,4,0,3,3,10,10,10,10,10,5,5,14,14,14,0,0,14,0,0,0,0,0,0,0,0,0,0,5,34,14,14,14,14,0,0,17,30,30,30,30,17,39,39,39,46,46,39,39,39,39,39,46,7,39,7,7,46,44,44,44,44,44,44,44,70
73,2634.0,1,0,1,3,3,3,6,7,9,9,9,9,9,9,8,8,9,9,9,13,13,9,13,13,13,13,13,13,13,13,13,13,17,13,9,9,9,9,9,9,4,22,22,22,22,4,9,48,48,45,45,48,48,48,48,48,45,49,48,49,49,45,28,28,28,28,28,28,28,28
74,2635.0,1,2,1,3,3,3,6,6,6,3,3,3,3,3,1,1,3,3,3,8,8,3,8,8,8,8,8,8,8,8,8,8,29,8,3,3,3,3,17,17,40,25,25,25,25,40,3,3,3,8,8,3,3,3,3,3,8,28,3,28,28,58,60,60,60,60,60,60,60,60
