,Stationsnummer,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters,31 clusters,32 clusters,33 clusters,34 clusters,35 clusters,36 clusters,37 clusters,38 clusters,39 clusters,40 clusters,41 clusters,42 clusters,43 clusters,44 clusters,45 clusters,46 clusters,47 clusters,48 clusters,49 clusters,50 clusters,51 clusters,52 clusters,53 clusters,54 clusters,55 clusters,56 clusters,57 clusters,58 clusters,59 clusters,60 clusters,61 clusters,62 clusters,63 clusters,64 clusters,65 clusters,66 clusters,67 clusters,68 clusters,69 clusters,70 clusters,71 clusters
59,2462.0,1,1,0,2,2,2,2,0,2,0,5,5,5,2,0,6,6,6,6,2,0,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,2,0,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,1,0,31,31,31,31,31,31,31
60,2467.0,0,0,1,1,0,6,6,6,6,2,2,2,2,0,2,0,5,5,5,5,5,5,2,2,2,2,2,2,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
61,2473.0,1,1,0,2,2,2,2,0,2,0,5,5,5,2,0,6,6,6,6,2,0,2,0,3,3,3,1,0,14,14,14,6,2,2,2,0,6,6,2,0,7,3,1,1,1,1,0,13,13,13,13,13,6,6,6,2,0,12,12,12,5,5,5,5,2,2,0,21,21,21
62,2481.0,1,1,0,2,2,2,2,0,2,0,5,5,5,2,0,6,6,6,6,2,0,2,0,3,3,3,1,0,14,14,14,6,2,2,2,0,8,8,8,8,8,8,3,3,3,3,1,1,0,4,4,4,4,1,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2
63,2485.0,0,2,2,0,5,5,5,2,0,6,6,6,6,6,6,2,0,3,1,1,1,1,1,0,10,4,4,1,1,0,7,7,7,7,7,7,7,7,7,7,3,1,0,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,1,0
64,2493.0,0,2,2,0,5,5,5,2,0,6,6,6,6,6,6,2,0,3,1,1,1,1,1,0,10,4,4,1,1,0,7,7,7,7,7,7,7,7,7,7,3,1,0,11,5,5,5,5,5,5,5,2,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10
65,2500.0,0,2,2,0,5,5,5,2,0,4,4,4,1,1,3,3,3,1,0,6,2,0,11,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24,24,24,24,24,24
66,2604.0,0,0,1,1,0,6,6,6,6,2,2,2,2,0,1,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7,7,3,3,3,3,1,1,1,0,24,24,24,24,24,24,24,24,24,24,11,11,11,11,11,11
67,2606.0,1,1,0,2,2,2,2,0,2,0,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,14,14,14,29,29,29,29,29,29,29,29,29,29,29,29
68,2608.0,0,0,1,1,0,3,1,1,1,1,0,7,7,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
69,2609.0,1,1,0,2,2,2,2,0,2,0,3,1,0,5,5,5,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,1,1,0,16,16,16,7
70,2612.0,1,1,0,2,2,2,2,0,2,0,3,1,0,5,5,5,2,2,2,0,10,22,22,22,22,22,22,22,22,22,22,22,22,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,1,0,12,12,12,12,12,12,12,5,5,5,2,2,2,2,0,10,10,4,4,4
71,2613.0,0,0,3,3,1,0,7,7,7,7,7,3,3,3,7,16,16,16,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,1,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,2,0,7,7,7,7,7,7,7,7,3
72,2617.0,1,1,0,2,2,2,2,0,2,0,5,5,5,2,0,6,6,6,6,2,0,2,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,2,0,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,1,0,4,4,1,1,0,14,14
73,2634.0,1,1,0,2,2,2,2,0,2,0,3,1,0,5,5,5,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,2,0,18,18,18,18,18,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,1
74,2635.0,1,1,0,2,2,2,2,0,2,0,3,1,0,5,5,5,2,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,1,1,0,12,12,12,12
